FusionName	JunctionReadCount	SpanningFragCount	SpliceType	LeftGene	LeftBreakpoint	RightGene	RightBreakpoint	JunctionReads	SpanningFrags	LargeAnchorSupport	FFPM	LeftBreakDinuc	LeftBreakEntropy	RightBreakDinuc	RightBreakEntropy	annots	dataset	Run	Phenotype	chromtype	leftgene_symbol	rightgene_symbol	left_gene	right_gene	fusion_type	known_fusion	source	known_fusion_disease
STK3--VPS13B	16	1	ONLY_REF_SPLICE	STK3^ENSG00000104375.17	chr8:98825515:-	VPS13B^ENSG00000132549.18	chr8:99384208:+	SRR934747.1.12480277,SRR934747.1.5515609,SRR934747.1.9095346,SRR934747.1.8731804,SRR934747.1.19127409,SRR934747.1.10249239,SRR934747.1.5713451,SRR934747.1.18515730,SRR934747.1.17398409,SRR934747.1.3984929,SRR934747.1.14190950,SRR934747.1.8465606,SRR934747.1.11234577,SRR934747.1.6022900,SRR934747.1.5752729,SRR934747.1.11864566	SRR934747.1.9557902	YES_LDAS	0.931	GT	1.7819	AG	1.6729	[CCLE_StarF2019,INTRACHROMOSOMAL[chr8:0.07Mb],LOCAL_INVERSION:-:+:[70439]]	SRP027383	SRR934747	Tumor	intrachrom	STK3	VPS13B	ENSG00000104375	ENSG00000132549	protein_protein	VPS13B--STK3|STK3--VPS13B|STK3--VPS13B	ChimerDB3.0_ChimerSeq|Fusioncatcher|Zhao	ESCA|NA|glioma
PTK2--VPS13B	4	1	ONLY_REF_SPLICE	PTK2^ENSG00000169398.19	chr8:141001125:-	VPS13B^ENSG00000132549.18	chr8:99859304:+	SRR934747.1.1986364,SRR934747.1.17462290,SRR934747.1.91417,SRR934747.1.9290487	SRR934747.1.44024	YES_LDAS	0.2738	GT	1.7056	AG	1.5329	[TCGA_StarF2019,TumorFusionsNAR2018,INTRACHROMOSOMAL[chr8:40.78Mb]]	SRP027383	SRR934747	Tumor	intrachrom	PTK2	VPS13B	ENSG00000169398	ENSG00000132549	protein_protein	PTK2--VPS13B	Gao_TCGA	BLCA
RIMKLB--MICALL2	20	7	ONLY_REF_SPLICE	RIMKLB^ENSG00000166532.16	chr12:8714041:+	MICALL2^ENSG00000164877.19	chr7:1448761:-	SRR934751.1.46924043,SRR934751.1.17029824,SRR934751.1.30306286,SRR934751.1.14845852,SRR934751.1.20353473,SRR934751.1.37533491,SRR934751.1.23246324,SRR934751.1.44680801,SRR934751.1.20520659,SRR934751.1.2928414,SRR934751.1.21032767,SRR934751.1.47033202,SRR934751.1.19038927,SRR934751.1.2510598,SRR934751.1.13756601,SRR934751.1.17852593,SRR934751.1.12764798,SRR934751.1.2857794,SRR934751.1.39068016,SRR934751.1.3964868	SRR934751.1.10005535,SRR934751.1.14283637,SRR934751.1.23133321,SRR934751.1.28462196,SRR934751.1.20917081,SRR934751.1.21879942,SRR934751.1.36244481	YES_LDAS	0.6421	GT	1.7819	AG	1.5058	[INTERCHROMOSOMAL[chr12--chr7]]	SRP027383	SRR934751	Tumor	interchrom	RIMKLB	MICALL2	ENSG00000166532	ENSG00000164877	protein_protein	MICALL2--RIMKLB|RIMKLB--MICALL2	Fusioncatcher|Zhao	NA|glioma
SPARC--GFAP	1	10	ONLY_REF_SPLICE	SPARC^ENSG00000113140.11	chr5:151664087:-	GFAP^ENSG00000131095.13	chr17:44908149:-	SRR934754.1.10046861	SRR934754.1.11128867,SRR934754.1.11285765,SRR934754.1.14878634,SRR934754.1.9507634,SRR934754.1.16395748,SRR934754.1.2745116,SRR934754.1.15013825,SRR934754.1.9194658,SRR934754.1.11895040,SRR934754.1.4400447	YES_LDAS	0.7099	GT	1.9329	AG	1.7819	[TCGA_StarF2019,INTERCHROMOSOMAL[chr5--chr17]]	SRP027383	SRR934754	Tumor	interchrom	SPARC	GFAP	ENSG00000113140	ENSG00000131095	protein_protein	GFAP--SPARC|GFAP--SPARC	Fusioncatcher|Babak	NA|LGG
R3HDM2--OS9	7	2	ONLY_REF_SPLICE	R3HDM2^ENSG00000179912.20	chr12:57395749:-	OS9^ENSG00000135506.16	chr12:57715760:+	SRR934755.1.11690789,SRR934755.1.12071820,SRR934755.1.293772,SRR934755.1.5459825,SRR934755.1.3907054,SRR934755.1.21929850,SRR934755.1.16871344	SRR934755.1.597581,SRR934755.1.21055396	YES_LDAS	0.4864	GT	1.8892	AG	1.9329	[CCLE_StarF2019,TCGA_StarF2019,INTRACHROMOSOMAL[chr12:0.26Mb]]	SRP027383	SRR934755	Tumor	intrachrom	R3HDM2	OS9	ENSG00000179912	ENSG00000135506	protein_protein	R3HDM2--OS9	Gao_TCGA	LUAD
MARS--OS9	4	0	ONLY_REF_SPLICE	MARS^ENSG00000166986.15	chr12:57488199:+	OS9^ENSG00000135506.16	chr12:57715760:+	SRR934755.1.9001213,SRR934755.1.13689799,SRR934755.1.9017286,SRR934755.1.16788890	.	YES_LDAS	0.2162	GT	1.8892	AG	1.9329	[GUO2018CR_TCGA,INTRACHROMOSOMAL[chr12:0.18Mb]]	SRP027383	SRR934755	Tumor	intrachrom	MARS	OS9	ENSG00000166986	ENSG00000135506	protein_protein	MARS--OS9	Gao_TCGA	LGG
HUWE1--RIBC1	6	4	ONLY_REF_SPLICE	HUWE1^ENSG00000086758.16	chrX:53645311:-	RIBC1^ENSG00000158423.17	chrX:53426277:+	SRR934757.15999553,SRR934757.15512971,SRR934757.17439539,SRR934757.18892648,SRR934757.24087603,SRR934757.16573782	SRR934757.4448880,SRR934757.17413691,SRR934757.21853596,SRR934757.13008300	YES_LDAS	0.4295	GT	1.9656	AG	1.4716	[INTRACHROMOSOMAL[chrX:0.10Mb]]	SRP027383	SRR934757	Tumor	intrachrom	HUWE1	RIBC1	ENSG00000086758	ENSG00000158423	protein_protein	HUWE1--RIBC1|HUWE1--RIBC1	Fusioncatcher|Zhao	NA|glioma
TGFB1--SAE1	6	3	ONLY_REF_SPLICE	TGFB1^ENSG00000105329.9	chr19:41348295:-	SAE1^ENSG00000142230.12	chr19:47169818:+	SRR934758.2398738,SRR934758.11806520,SRR934758.11819451,SRR934758.19341410,SRR934758.6393844,SRR934758.13313607	SRR934758.15670664,SRR934758.8246854,SRR934758.14820179	YES_LDAS	0.457	GT	1.9219	AG	1.9086	[INTRACHROMOSOMAL[chr19:5.76Mb]]	SRP027383	SRR934758	Tumor	intrachrom	TGFB1	SAE1	ENSG00000105329	ENSG00000142230	protein_protein	SAE1--TGFB1|TGFB1--SAE1	Fusioncatcher|Zhao	NA|glioma
UBE3C--CNTNAP2	14	5	ONLY_REF_SPLICE	UBE3C^ENSG00000009335.18	chr7:157231327:+	CNTNAP2^ENSG00000174469.23	chr7:148409391:+	SRR934765.7951011,SRR934765.17632239,SRR934765.28410059,SRR934765.2981949,SRR934765.23173728,SRR934765.22688294,SRR934765.1163435,SRR934765.22602636,SRR934765.4823545,SRR934765.7763765,SRR934765.29121730,SRR934765.27909947,SRR934765.2068584,SRR934765.17012225	SRR934765.13891225,SRR934765.28350753,SRR934765.2096659,SRR934765.19709898,SRR934765.4164611	YES_LDAS	0.7095	GT	1.7819	AG	1.9329	[INTRACHROMOSOMAL[chr7:8.72Mb]]	SRP027383	SRR934765	Tumor	intrachrom	UBE3C	CNTNAP2	ENSG00000009335	ENSG00000174469	protein_protein	CNTNAP2--UBE3C|UBE3C--CNTNAP2	Fusioncatcher|Zhao	NA|glioma
ZC3H11A--REN	117	85	ONLY_REF_SPLICE	ZC3H11A^ENSG00000058673.16	chr1:203847687:+	REN^ENSG00000143839.15	chr1:204162163:-	SRR934772.10019970,SRR934772.1657867,SRR934772.23279448,SRR934772.9467209,SRR934772.3556777,SRR934772.16582449,SRR934772.19341052,SRR934772.20600503,SRR934772.22275777,SRR934772.18641560,SRR934772.4373068,SRR934772.6120630,SRR934772.6223178,SRR934772.13344403,SRR934772.1489229,SRR934772.9855616,SRR934772.22557992,SRR934772.9452251,SRR934772.13039094,SRR934772.7966734,SRR934772.9734742,SRR934772.3110305,SRR934772.9523840,SRR934772.6805352,SRR934772.1231521,SRR934772.4606496,SRR934772.5633449,SRR934772.3229924,SRR934772.2213908,SRR934772.10080201,SRR934772.6087676,SRR934772.11706332,SRR934772.15109644,SRR934772.11885419,SRR934772.11816460,SRR934772.9308980,SRR934772.2299049,SRR934772.16265611,SRR934772.6485460,SRR934772.10424298,SRR934772.7207246,SRR934772.6264991,SRR934772.23610649,SRR934772.15660119,SRR934772.10153553,SRR934772.18528714,SRR934772.6033135,SRR934772.3764664,SRR934772.13323648,SRR934772.18955623,SRR934772.23877144,SRR934772.11804538,SRR934772.17390547,SRR934772.2831149,SRR934772.22760192,SRR934772.19064655,SRR934772.23153925,SRR934772.4588128,SRR934772.10499613,SRR934772.646818,SRR934772.16114559,SRR934772.24416761,SRR934772.12249832,SRR934772.4354506,SRR934772.6261555,SRR934772.6589330,SRR934772.15573044,SRR934772.16599614,SRR934772.10840922,SRR934772.14087027,SRR934772.6633347,SRR934772.24385460,SRR934772.14958097,SRR934772.7133004,SRR934772.7654699,SRR934772.9323364,SRR934772.22909714,SRR934772.22704112,SRR934772.20871423,SRR934772.18676757,SRR934772.18862026,SRR934772.5075920,SRR934772.23769870,SRR934772.17787199,SRR934772.12504808,SRR934772.15242488,SRR934772.11978071,SRR934772.2104620,SRR934772.5368790,SRR934772.23819120,SRR934772.23130286,SRR934772.3028660,SRR934772.19102825,SRR934772.13398494,SRR934772.18215310,SRR934772.2124168,SRR934772.21591394,SRR934772.5067661,SRR934772.7359454,SRR934772.10278679,SRR934772.6834464,SRR934772.21543603,SRR934772.106407,SRR934772.21610189,SRR934772.18600347,SRR934772.23610650,SRR934772.13234426,SRR934772.17103758,SRR934772.15460332,SRR934772.702462,SRR934772.14158847,SRR934772.14965421,SRR934772.7966285,SRR934772.19218558,SRR934772.3229925,SRR934772.15452541,SRR934772.3988199	SRR934772.10101274,SRR934772.565189,SRR934772.7819235,SRR934772.7617727,SRR934772.7045958,SRR934772.3539957,SRR934772.21699474,SRR934772.13030411,SRR934772.3066521,SRR934772.17899132,SRR934772.8294201,SRR934772.2101162,SRR934772.21969700,SRR934772.15830727,SRR934772.19990103,SRR934772.16912477,SRR934772.5179403,SRR934772.2309184,SRR934772.19113598,SRR934772.3036508,SRR934772.10849478,SRR934772.24395666,SRR934772.20849253,SRR934772.1493054,SRR934772.3481530,SRR934772.16843660,SRR934772.4588498,SRR934772.11371676,SRR934772.15683936,SRR934772.12021324,SRR934772.11733298,SRR934772.10519293,SRR934772.16363980,SRR934772.12761349,SRR934772.17583006,SRR934772.10192659,SRR934772.10995475,SRR934772.2424008,SRR934772.11872039,SRR934772.5672351,SRR934772.21704614,SRR934772.24070060,SRR934772.7263202,SRR934772.588242,SRR934772.21379234,SRR934772.11642919,SRR934772.10972337,SRR934772.14053331,SRR934772.23777548,SRR934772.4751243,SRR934772.18155008,SRR934772.18740840,SRR934772.13352217,SRR934772.12490660,SRR934772.21855797,SRR934772.19632190,SRR934772.4133480,SRR934772.2229075,SRR934772.20667400,SRR934772.20979641,SRR934772.23161026,SRR934772.3097772,SRR934772.15667773,SRR934772.3455904,SRR934772.24031475,SRR934772.18794124,SRR934772.19249332,SRR934772.14545814,SRR934772.12047344,SRR934772.5008005,SRR934772.10937651,SRR934772.14521726,SRR934772.214534,SRR934772.16752084,SRR934772.1654490,SRR934772.14426122,SRR934772.14376891,SRR934772.110708,SRR934772.23194313,SRR934772.14349475,SRR934772.14170913,SRR934772.9674055,SRR934772.12638945,SRR934772.11830654,SRR934772.5682420	YES_LDAS	8.6834	GT	1.6402	AG	1.9899	[INTRACHROMOSOMAL[chr1:0.30Mb]]	SRP027383	SRR934772	Tumor	intrachrom	ZC3H11A	REN	ENSG00000058673	ENSG00000143839	protein_protein	REN--ZC3H11A|ZC3H11A--REN	Fusioncatcher|Zhao	NA|glioma
ZC3H11A--REN	82	85	ONLY_REF_SPLICE	ZC3H11A^ENSG00000058673.16	chr1:203847687:+	REN^ENSG00000143839.15	chr1:204172617:-	SRR934772.10077465,SRR934772.4819636,SRR934772.9800495,SRR934772.15197432,SRR934772.17832765,SRR934772.8365369,SRR934772.9635551,SRR934772.12619811,SRR934772.343013,SRR934772.24349061,SRR934772.14497904,SRR934772.5636881,SRR934772.22735548,SRR934772.14111312,SRR934772.4262282,SRR934772.17071212,SRR934772.19033397,SRR934772.18450052,SRR934772.7077054,SRR934772.6771215,SRR934772.1237697,SRR934772.16312909,SRR934772.12929949,SRR934772.2601538,SRR934772.2898526,SRR934772.785832,SRR934772.5162031,SRR934772.376319,SRR934772.19428478,SRR934772.13846350,SRR934772.17515246,SRR934772.13956411,SRR934772.2512491,SRR934772.9070633,SRR934772.20887163,SRR934772.18513129,SRR934772.8311557,SRR934772.8537544,SRR934772.22050743,SRR934772.4175531,SRR934772.6034381,SRR934772.6380194,SRR934772.5498854,SRR934772.16966707,SRR934772.13580217,SRR934772.1639147,SRR934772.8551295,SRR934772.15476198,SRR934772.10340418,SRR934772.13015189,SRR934772.9841010,SRR934772.18690788,SRR934772.13459705,SRR934772.1678876,SRR934772.13653559,SRR934772.2724864,SRR934772.7105168,SRR934772.15068352,SRR934772.4429183,SRR934772.24384024,SRR934772.22067322,SRR934772.22464118,SRR934772.1435379,SRR934772.20651605,SRR934772.16985605,SRR934772.11902289,SRR934772.5848240,SRR934772.2303644,SRR934772.2110734,SRR934772.22603519,SRR934772.19319706,SRR934772.10276746,SRR934772.11222791,SRR934772.3987801,SRR934772.14641958,SRR934772.1476619,SRR934772.17472111,SRR934772.1448456,SRR934772.6271418,SRR934772.8181472,SRR934772.18142135,SRR934772.6463376	SRR934772.214534,SRR934772.16752084,SRR934772.10937651,SRR934772.14521726,SRR934772.14545814,SRR934772.12047344,SRR934772.5008005,SRR934772.19249332,SRR934772.12638945,SRR934772.11830654,SRR934772.5682420,SRR934772.14170913,SRR934772.14349475,SRR934772.9674055,SRR934772.14376891,SRR934772.1654490,SRR934772.14426122,SRR934772.110708,SRR934772.23194313,SRR934772.18155008,SRR934772.18740840,SRR934772.13352217,SRR934772.4751243,SRR934772.23777548,SRR934772.14053331,SRR934772.11642919,SRR934772.10972337,SRR934772.23161026,SRR934772.3097772,SRR934772.15667773,SRR934772.3455904,SRR934772.24031475,SRR934772.18794124,SRR934772.20979641,SRR934772.19632190,SRR934772.2229075,SRR934772.4133480,SRR934772.20667400,SRR934772.21855797,SRR934772.12490660,SRR934772.11733298,SRR934772.10519293,SRR934772.16363980,SRR934772.12761349,SRR934772.1493054,SRR934772.16843660,SRR934772.3481530,SRR934772.4588498,SRR934772.11371676,SRR934772.15683936,SRR934772.12021324,SRR934772.24395666,SRR934772.20849253,SRR934772.5179403,SRR934772.2309184,SRR934772.19113598,SRR934772.3036508,SRR934772.10849478,SRR934772.21379234,SRR934772.21704614,SRR934772.24070060,SRR934772.7263202,SRR934772.588242,SRR934772.10995475,SRR934772.11872039,SRR934772.2424008,SRR934772.5672351,SRR934772.17583006,SRR934772.10192659,SRR934772.21699474,SRR934772.3539957,SRR934772.13030411,SRR934772.7819235,SRR934772.565189,SRR934772.7617727,SRR934772.7045958,SRR934772.10101274,SRR934772.16912477,SRR934772.3066521,SRR934772.17899132,SRR934772.8294201,SRR934772.2101162,SRR934772.15830727,SRR934772.19990103,SRR934772.21969700	YES_LDAS	7.1789	GT	1.6402	AG	1.8323	[INTRACHROMOSOMAL[chr1:0.30Mb]]	SRP027383	SRR934772	Tumor	intrachrom	ZC3H11A	REN	ENSG00000058673	ENSG00000143839	protein_protein	REN--ZC3H11A|ZC3H11A--REN	Fusioncatcher|Zhao	NA|glioma
PAK4--NFKBIB	11	5	ONLY_REF_SPLICE	PAK4^ENSG00000130669.17	chr19:39125919:+	NFKBIB^ENSG00000104825.17	chr19:38905015:+	SRR934774.3360908,SRR934774.5095008,SRR934774.3798751,SRR934774.8281965,SRR934774.7726804,SRR934774.1025245,SRR934774.14834429,SRR934774.9624647,SRR934774.4603001,SRR934774.90152,SRR934774.12759106	SRR934774.6935673,SRR934774.4505142,SRR934774.2355787,SRR934774.8876478,SRR934774.5081698	YES_LDAS	1.1748	GT	1.5628	AG	1.9086	[INTRACHROMOSOMAL[chr19:0.22Mb]]	SRP027383	SRR934774	Tumor	intrachrom	PAK4	NFKBIB	ENSG00000130669	ENSG00000104825	protein_protein	NFKBIB--PAK4|PAK4--NFKBIB	Fusioncatcher|Zhao	NA|glioma
